user_id,scroll count,mouse movement count,click count,User Record Count,Total Time,Total Distance,validation,Min Score Value,Max Score Value,bf _votes_ 1 _count,bf _votes_ 5 _count,bf _votes_ 3 _count,bs _votes_ 3 _count,miq _votes_ 3 _count,pgi _votes_ 4 _count,bs _votes_ 1 _count,bs _votes_ 4 _count,bs _votes_ 5 _count,miq _votes_ 1 _count,miq _votes_ 2 _count,miq _votes_ 4 _count,miq _votes_ 5 _count,pgi _votes_ 1 _count,pgi _votes_ 2 _count,pgi _votes_ 3 _count,pgi _votes_ 5 _count,pgi _votes_ 7 _count,bf _votes_ 4 _count,bf _votes_ 2 _count,bs _votes_ 2 _count,pgi _votes_ 6 _count,measure_width_covered,measure_height_covered,movesleft,movesright,no_horizontal_movement,perc_left_movement,perc_right_movement,perc_no_movement_x,movesup,movesdown,no_vertical_movement,perc_upwward_movement,perc_downward_movement,perc_no_movement_y,system,Max Speed,Avg Speed,Sd Speed,displacement,displacement_time,speed,speed_times,acceleration,acceleration_times,traj_step_angles,traj_heading,length,net_displacement
1493,0,9353,288,9641,480.751,58106.55002,1,1,6,4,4,7,2,38,46,0,2,0,0,3,25,0,0,0,2,35,0,14,13,0,1,16.77864583,28.75769231,3135,3049,3457,32.51737372,31.62535007,35.85727622,3024,4438,2179,31.36604087,46.03256924,22.6013899,pc,278.1800914,0.123743859,3.948232919,101.3480827,289.1028011,59.39680899,289.1028011,6.884683685,289.0930773,58.63953823,45.61334096,18344.00297,430.1546234
1495,6,23491,256,23753,687.442,143366.8439,1,1,7,7,5,10,2,11,9,0,0,0,9,7,28,11,2,12,14,14,9,12,8,2,24,82.77085088,44.86489253,8000,8594,7159,33.67995622,36.18069297,30.13935082,5152,6462,12139,21.6898918,27.20498463,51.10512356,pc,7.782101167,0.047524041,0.22861494,163.9788454,317.7200816,77.253727,317.7200816,10.88111663,317.7104326,40.07267538,49.05580211,34107.59984,66.84309987
1497,50,11402,298,11750,614.384,160141.9188,1,1,7,2,1,8,0,2,7,1,3,0,1,3,26,34,0,0,0,17,27,19,12,0,33,57.81844802,76.00961538,3899,4581,3269,33.18580305,38.99055239,27.82364457,3876,4630,3243,32.99004171,39.40760916,27.60234914,pc,227.1276102,0.18239858,3.169081185,104.6128533,334.8993005,66.54065785,334.8993005,2.197770362,334.8968525,44.26988944,63.78039525,19144.15216,463.729447
1499,19,9786,280,10085,568.354,100459.675,1,1,6,16,0,24,1,46,18,0,0,0,0,4,16,0,0,0,4,58,0,0,2,3,4,51.02415813,41.5625,3682,3029,3374,36.50966782,30.03470501,33.45562717,2791,3956,3338,27.6747645,39.22657412,33.09866138,pc,13.42812006,0.077568357,0.512889668,197.1759833,294.2296225,103.0030801,294.2296225,6.166469059,294.2235511,50.80940929,68.75973103,38646.49273,466.4761516
1500,69,13057,244,13370,715.035,114844.8691,1,1,7,13,11,6,1,11,8,1,1,1,6,5,8,36,4,4,0,6,56,8,4,0,6,52.54392387,39.36813187,5939,3979,3452,44.42034405,29.76065819,25.81899776,2787,5530,5053,20.84517577,41.36125654,37.79356769,pc,22.93480428,0.053442946,0.428244372,191.8406253,348.1854397,82.5174467,348.1854397,7.803162469,348.172157,45.26173529,71.96249474,36641.55943,473.894503
1502,48,8700,258,9006,580.703,91626.62507,1,1,7,0,4,12,2,21,19,0,1,0,1,20,24,0,0,4,21,19,1,13,13,1,20,70.66398243,78.48489011,3500,3496,2010,38.86298024,38.8185654,22.31845436,3103,3316,2587,34.45480791,36.81989785,28.72529425,pc,39.15074951,0.080825874,0.737328115,107.4584293,291.7643594,67.85077841,291.7643594,5.386558574,291.7593177,49.52727454,63.82429535,20632.01843,377.8782873
1504,101,7391,313,7805,795.985,59853.14066,1,1,7,20,11,3,2,2,9,0,1,1,0,1,10,53,3,1,1,1,62,3,5,0,7,47.12518302,57.81456044,2221,2095,3489,28.45611787,26.8417681,44.70211403,2263,4096,1446,28.99423447,52.47918001,18.52658552,pc,29.99290309,0.039592225,0.545914199,107.8530696,420.4266384,39.64725065,420.4266384,2.306041951,420.416887,43.0155475,15.09619647,19089.99332,532.8648984
1505,94,11336,293,11723,576.013,93441.9224,0,1,6,3,0,7,2,39,4,0,0,0,0,20,7,0,52,21,6,0,0,18,14,2,1,56.44289898,61.4010989,3480,3744,4499,29.68523416,31.93721744,38.37754841,3319,5658,2746,28.31186556,48.26409622,23.42403822,pc,30.68055049,0.08342831,0.641688221,93.41915182,307.497438,48.54228048,307.497438,9.552423729,307.4728092,52.30107165,35.44906613,18123.31545,325.0984466
1506,153,9232,246,9631,540.553,62092.59555,1,1,6,6,4,11,2,16,13,0,2,0,2,11,26,11,37,4,6,12,0,11,10,0,12,75.5534407,56.15247253,3983,3522,2126,41.35603779,36.56941128,22.07455093,3389,3614,2628,35.18845395,37.52465995,27.2868861,pc,24.97883632,0.05946368,0.426199555,211.4436463,254.0527046,118.9193286,254.0527046,22.93690985,254.0446943,51.42277645,75.32159789,40808.62373,423.3414697
1508,83,12251,253,12587,556.498,191598.8758,1,1,7,10,23,1,0,9,4,0,2,2,0,8,21,28,20,18,15,3,13,4,4,0,11,44.82265625,46.87063389,3779,3569,5239,30.02303964,28.35465162,41.62230873,2400,4967,5220,19.06729165,39.46134901,41.47135934,pc,97.66817937,0.156165528,1.607261628,98.4990261,282.7233488,44.93594383,282.7233488,1.350033684,282.7153283,47.88053395,69.19525305,19207.31009,442.6341605
1510,44,5343,239,5626,244.349,72691.36643,0,2,6,0,1,18,2,31,38,0,1,0,0,10,23,2,0,0,23,20,0,12,11,1,3,34.266875,42.96091954,1935,1905,1786,34.39388553,33.860647,31.74546747,1525,2657,1444,27.10629221,47.22715962,25.66654817,pc,64.80331646,0.224569233,1.447343059,95.48280672,116.9550655,80.72359944,116.9550655,-7.887644569,116.9492513,58.84751838,77.48078169,17473.35363,438.0182645
1512,9,17784,244,18037,949.716,275226.7811,1,1,7,3,4,11,2,7,26,0,1,0,3,9,23,24,10,6,3,22,1,17,7,1,16,160.0828125,38.40955285,7432,8659,1946,41.20419138,48.00687476,10.78893386,4101,4360,9576,22.736597,24.17253424,53.09086877,pc,60.92188765,0.08447361,0.937296245,191.5602081,457.9353457,70.81419131,457.9353457,11.93586073,457.9119485,45.95264668,67.81201743,40993.88454,332.073787
1513,68,9957,263,10288,350.906,84644.21137,1,1,7,4,4,9,0,20,14,0,0,2,3,10,13,20,40,1,5,6,8,12,13,2,10,57.7265625,52.41666662,3654,3643,2991,35.51710731,35.41018663,29.07270607,2902,3772,3614,28.20762053,36.66407465,35.12830482,pc,296.6028061,0.182977461,4.360049272,104.983333,165.9147185,69.27252851,165.9147185,-71.3818609,165.9059145,60.41196982,56.57909054,20891.68328,319.9781243
1514,1473,235,235,1943,318.995,189636.5172,0,1,7,1,0,26,2,43,31,0,2,0,2,14,6,1,5,7,13,15,5,9,6,0,8,56.68055556,281.4136342,141,135,1666,7.260556128,6.951596292,85.78784758,679,1028,235,34.96395469,52.93511843,12.10092688,pc,50.30923837,0.728379703,2.598601471,256.3520559,127.4513116,242.9043778,127.4513116,37.70543428,127.4327214,84.03996338,65.07895571,46912.42623,717.0251042
1515,42,10713,262,11017,672.608,123020.9412,1,1,7,4,0,11,1,1,2,0,0,0,4,7,51,3,31,35,2,2,2,15,12,3,10,54.98609078,52.94140625,3304,4211,3502,29.99001543,38.22274666,31.78723791,3497,4101,3419,31.7418535,37.22428973,31.03385677,pc,62.23291484,0.070942769,0.917958655,123.9889662,354.0454011,50.91271692,354.0454011,-1.651793291,353.9890813,44.88995194,47.20003531,24425.82633,427.2856188
