,km_label,user_id,validation
307,0,1211,0
308,0,1213,1
309,0,1217,1
310,0,1218,1
311,0,1219,0
312,0,1220,0
313,0,1222,0
314,0,1224,0
315,0,1228,1
316,1,1230,0
317,1,1231,1
318,0,1233,1
319,0,1234,1
320,1,1239,1
321,0,1240,1
322,0,1244,1
323,0,1248,0
324,0,1250,1
325,0,1252,1
326,0,1255,1
327,0,1256,0
328,1,1260,0
329,1,1263,1
330,0,1268,0
331,1,1269,1
332,0,1270,1
333,0,1272,0
334,0,1273,1
335,0,1275,1
336,0,1276,1
337,0,1278,1
338,0,1279,1
339,0,1280,1
340,0,1281,1
341,0,1282,1
342,0,1284,1
343,1,1285,0
344,0,1286,1
345,0,1287,1
346,1,1288,1
347,0,1289,1
348,0,1293,1
349,1,1294,1
350,0,1295,1
351,0,1297,1
352,0,1301,1
353,0,1302,1
354,0,1303,1
355,0,1308,1
356,0,1309,0
357,0,1310,1
358,0,1313,1
359,0,1314,1
360,0,1315,0
361,0,1316,1
362,0,1317,1
363,0,1320,1
364,0,1321,1
365,0,1322,1
366,0,1323,0
367,0,1324,1
368,0,1326,1
369,0,1329,0
370,0,1330,0
371,0,1331,0
372,0,1332,1
373,1,1334,1
374,0,1336,1
375,0,1337,1
376,0,1338,1
377,1,1341,1
378,0,1342,0
379,1,1344,0
380,0,1347,1
381,0,1349,1
382,0,1353,1
383,0,1354,1
384,0,1356,0
385,0,1357,1
386,0,1358,1
387,0,1359,1
388,1,1361,1
389,0,1365,1
390,0,1368,1
391,0,1371,1
392,0,1375,1
393,0,1376,0
394,0,1377,1
395,0,1379,1
396,0,1380,1
397,0,1381,1
398,1,1385,0
399,0,1386,1
400,0,1389,0
401,1,1390,0
402,0,1391,0
403,0,1394,1
404,0,1395,1
405,0,1398,1
406,0,1399,1
407,0,1400,1
408,0,1404,0
409,0,1408,1
410,0,1409,1
411,0,1412,1
412,0,1413,1
413,0,1415,1
414,0,1416,1
415,0,1420,1
416,0,1422,0
417,0,1424,1
418,1,1425,1
419,0,1427,1
420,0,1428,1
421,1,1429,0
422,0,1431,0
423,1,1436,1
424,0,1437,1
425,0,1439,1
426,0,1441,1
427,0,1443,1
428,1,1444,0
429,0,1445,1
430,1,1447,1
431,0,1451,1
432,0,1452,0
433,0,1453,1
434,0,1454,1
435,0,1455,1
436,0,1459,0
437,0,1461,0
438,0,1462,1
439,0,1463,1
440,1,1464,1
441,0,1465,1
442,0,1466,1
443,0,1469,1
444,0,1474,1
445,0,1475,1
446,0,1476,1
447,0,1479,0
448,1,1483,1
449,1,1486,0
450,1,1487,1
451,0,1488,1
452,0,1489,1
453,0,1490,1
454,0,1493,1
455,0,1495,1
456,0,1497,1
457,0,1499,1
458,0,1500,1
459,0,1502,1
460,0,1504,1
461,0,1505,0
462,0,1506,1
463,0,1508,1
464,0,1510,0
465,0,1512,1
466,0,1513,1
467,0,1514,0
468,0,1515,1
469,0,1519,1
470,0,1520,1
471,0,1523,1
472,0,1524,1
473,0,1525,1
474,0,1526,1
475,0,1527,1
476,0,1528,1
477,0,1529,0
478,0,1531,1
479,0,1532,1
480,0,1533,1
481,0,1535,1
482,0,1536,1
483,0,1537,0
484,0,1538,0
485,0,1539,0
486,0,1540,0
487,0,1541,1
488,0,1542,1
489,0,1543,0
490,0,1544,1
491,0,1546,1
492,0,1547,1
493,0,1549,1
494,1,1551,0
495,0,1553,1
496,0,1554,1
497,1,1557,1
498,0,1558,1
499,0,1562,0
500,0,1564,1
501,0,1566,1
502,0,1567,0
503,0,1568,1
504,0,1571,1
505,0,1572,1
506,0,1576,1
507,0,1580,1
508,0,1581,1
509,0,1583,1
510,1,1584,1
511,0,1585,1
512,0,1588,1
513,0,1589,1
514,0,1591,1
515,0,1592,1
516,0,1593,1
517,0,1594,1
518,0,1595,1
519,0,1596,1
520,0,1598,1
521,0,1600,1
522,0,1601,1
523,0,1605,1
524,0,1606,1
525,0,1607,1
526,0,1611,1
527,0,1612,1
528,0,1613,0
529,0,1615,1
530,0,1616,1
531,0,1617,0
532,0,1618,1
533,0,1620,1
534,0,1622,1
535,0,1623,0
536,0,1625,1
537,0,1626,1
538,0,1627,1
539,0,1629,1
540,0,1630,0
541,0,1631,1
542,0,1632,1
543,0,1633,1
544,0,1635,1
545,0,1636,1
546,0,1638,1
547,0,1639,0
548,0,1640,1
549,0,1641,1
550,0,1642,1
551,0,1643,1
552,0,1644,1
553,0,1646,1
554,0,1647,1
555,0,1648,1
556,0,1649,0
557,0,1651,1
558,0,1653,1
559,0,1654,1
560,0,1655,1
561,0,1656,1
562,0,1657,0
563,0,1658,0
564,0,1661,1
565,0,1662,1
566,0,1663,1
567,0,1667,0
568,0,1668,1
569,0,1669,1
570,0,1670,1
571,0,1671,1
572,0,1673,1
573,0,1674,0
574,0,1678,1
575,0,1679,1
576,0,1680,1
577,0,1681,1
578,0,1683,1
579,0,1684,1
580,0,1685,1
581,0,1686,0
582,0,1687,1
583,0,1688,1
584,0,1691,0
585,0,1692,1
586,0,1693,1
587,0,1694,1
588,0,1696,1
589,0,1700,1
590,0,1701,0
591,0,1702,0
592,0,1704,0
593,0,1705,1
594,0,1706,1
595,0,1707,0
596,0,1709,1
597,0,1710,1
598,0,1712,1
599,0,1713,1
600,0,1714,1
601,0,1715,1
602,0,1716,1
603,0,1717,1
604,0,1718,1
605,0,1719,1
606,0,1721,1
607,0,1722,0
608,0,1723,1
609,0,1724,1
610,0,1725,1
611,0,1728,0
612,0,1729,1
